id,name,dmmId,displayName,ruby,bust,cup,waist,hip,height,birthday,bloodType,hobby,prefectures
1,波多野結衣,26225,Yui Hatano,はたのゆい,88,E,59,85,163,1988-05-24,A,ゲーム、アニメ,京都府
2,大槻ひびき,30130,Hibiki Otsuki,おおつきひびき,88,D,57,85,158,1988-02-21,A,買い物、お菓子作り,北海道
3,篠田ゆう,1008785,Yu Shinoda,しのだゆう,88,F,60,88,155,1991-07-21,O,DVD鑑賞、ジャズダンス、ピアノ,東京都
4,つぼみ,1041183,Tsubomi Ayukawa,あゆかわつぼみ,70,D,56,76,150,1998-06-04,B,カラオケ,
5,翔田千里,16322,Chisato Shoda,しょうだちさと,86,D,63,90,163,1968-04-11,,,東京都
6,蓮実クレア,1017139,Claire Hasumi,はすみくれあ,86,F,57,87,158,1991-12-03,A,ベリーダンス,神奈川県
7,北条麻妃,29949,Maki Hojo,ほうじょうまき,86,D,59,88,168,1976-12-21,AB,テニス,東京都
8,小早川怜子,1014614,Reiko Kobayakawa,こばやかわれいこ,88,I,60,89,165,,,,
9,JULIA,1004672,Julia,じゅりあ,102,J,55,84,158,1987-05-25,,自分磨き、簿記二級,
10,水野朝陽,1019300,Asahi Mizuno,みずのあさひ,90,G,58,96,165,1990-11-12,,料理、サイクリング、バスケ、弓道、水泳,
11,AIKA,1008887,Aika,あいか,87,F,60,84,165,1990-08-25,A,ファッション/旅行,兵庫県
12,風間ゆみ,2752,Yumi Kazama,かざまゆみ,93,F,60,90,160,1979-02-22,O,水泳,東京都
13,篠田あゆみ,1025503,Ayumi Shinoda,しのだあゆみ,95,I,58,84,157,1985-11-16,,,神奈川県
14,佐々木あき,1032130,Aki Sasaki,ささきあき,,,,,,,,,
15,浜崎真緒,1016525,Mao Hamasaki,はまさきまお,87,E,59,86,165,1993-10-20,,音楽鑑賞,千葉県
16,松本いちか,1054998,Ichika Matsumoto,まつもといちか,83,C,55,82,153,,,,
17,あおいれな,1032774,Rena Aoi,あおいれな,80,C,57,85,158,,,ショッピング・バレーボール,
18,羽月希,1005108,Nozomi Hazuki,はづきのぞみ,88,F,60,84,154,1988-07-31,A,バトミントン、百人一首,東京都
19,枢木あおい,1039047,Aoi Kururugi,くるるぎあおい,82,D,59,88,154,1998-03-20,A,水泳,京都府
20,君島みお,1040946,Mio Kimijima,きみじまみお,92,F,59,88,162,1988-04-25,B,スパ、食べ歩き、料理,栃木県
21,渚みつき,1049908,Mitsuki Nagisa,なぎさみつき,82,B,58,83,155,,,,
22,倉多まお,1016110,Mao Kurata,くらたまお,95,H,58,87,154,1994-03-07,A,ダンス、フィギュアスケート,秋田県
23,川上ゆう（森野雫）,23130,Yuu Kawakami (Shizuku Morino),かわかみゆう（もりのしずく）,84,D,60,83,150,1982-03-03,B,料理全般、水泳（インストラクター、元トライアスロン競技者）,東京都
24,春菜はな,1001206,Hana Haruna,はるなはな,108,K,58,85,162,1988-11-08,A,寝ること、何処でも寝られること,東京都
25,阿部乃みく,1021903,Miku Abeno,あべのみく,80,C,60,83,155,1993-10-18,O,カフェ巡り/アニメ鑑賞,
26,新村あかり,1036352,Akari Niimura,にいむらあかり,,,,,,,,,
27,有村千佳,1007544,Chika Arimura,ありむらちか,85,C,58,88,158,1990-04-15,O,ショッピング,東京都
28,森沢かな（飯岡かなこ）,1020685,Kana Morisawa (Kanako Iioka),もりさわかな（いいおかかなこ）,86,F,59,88,160,1992-05-09,,アニメ、カフェ巡り,
29,春原未来,1013499,Miki Sunohara,すのはらみき,88,D,63,88,163,1991-11-23,,料理、ピアノ,
30,初美沙希,1013949,Saki Hatsumi,はつみさき,86,E,58,86,158,1990-10-15,O,ブログ更新・カメラ・音楽,東京都
31,麻里梨夏,1033841,Rika Mari,まりりか,80,D,56,82,148,1993-06-09,,ゲーム(RPG)、映画,
32,水城奈緒,17860,Nao Mizuki,みずきなお,90,G,59,87,159,1984-09-18,B,ダーツ,東京都
33,椎名ゆな,30317,Yuna Shiina,しいなゆな,88,,58,85,158,1989-11-18,B,イラスト、ドライブ、料理,東京都
34,弥生みづき,1054168,Mizuki Yayoi,やよいみづき,89,G,60,94,157,1998-12-07,,,
35,美園和花,1044099,Waka Misono,みそのわか,100,G,60,91,,,,,
36,真木今日子,1008769,Kyouko Maki,まききょうこ,99,I,60,88,160,1990-09-03,B,カラオケ、ゴルフ,神奈川県
37,澤村レイコ（高坂保奈美、高坂ますみ）,24595,Reiko Sawamura (Honami Takasaka&nbsp;Masumi Takasaka),さわむられいこ（たかさかほなみ、たかさかますみ）,87,D,59,87,170,1974-11-24,A,スポーツ観戦,東京都
38,木下ひまり,1060141,Himari Kinoshita (Himari Hanazawa),きのしたひまり（はなざわひまり）,88,D,57,88,169,1996-05-21,,,
39,推川ゆうり,1020973,Yuuri Oshikawa,おしかわゆうり,93,I,65,95,165,1990-06-13,AB,旅行、テニス,大阪府
40,通野未帆,1021901,Miho Toono,とおのみほ,87,E,59,85,160,1991-01-21,A,ゲーム,
41,紺野ひかる,23558,Hikaru Konno,こんのひかる,85,C,59,86,165,1994-01-16,,アニメ,東京都
42,吉沢明歩,6644,Akihiro Yoshizawa,よしざわあきほ,86,E,58,86,161,1984-03-03,A,美術館めぐり、料理、テニス,東京都
43,中森玲子,25223,Reiko Nakamori,なかもりれいこ,100,H,60,89,160,1977-05-25,B,,福岡県
44,桜井あゆ,1019602,Ayu Sakurai,さくらいあゆ,82,B,59,81,162,1991-04-15,,バレーボール,宮崎県
45,北川瞳,1008268,Hitomi Kitagawa,きたがわひとみ,88,G,57,85,155,1991-12-02,,ショッピング,
46,佳苗るか,1014936,Ruka Kanae,かなえるか,83,D,60,85,147,1993-03-04,O,アニメ、水泳,千葉県
47,あべみかこ,1015712,Mikako Abe,あべみかこ,73,A,61,86,158,1994-02-21,O,,
48,横山みれい,1000248,Mirei Yokoyama,よこやまみれい,93,H,57,83,158,,,フルート、スノーボード,東京都
49,森ななこ,24261,Nanako Mori,もりななこ,92,G,58,87,164,1985-08-01,,ピアノ、ギター,兵庫県
50,上原亜衣,1011199,Ai Uehara,うえはらあい,83,E,57,82,,1992-11-12,,,
51,本真ゆり,1012910,Yuri Honma,ほんまゆり,98,H,64,92,162,,,,
52,椎名そら,1032097,Sora Shiina,しいなそら,88,E,56,83,155,1995-07-12,O,,愛知県
53,今井夏帆,1050318,Kaho Imai,いまいかほ,,,,,,,,,
54,澁谷果歩,1027409,Kaho Shibuya,しぶや かほ,100,K,58,87,150,1991-05-20,,,
55,美谷朱里,1039982,Akane Mitani (Akari Mitani),みたにあかね（みたにあかり）,83,E,58,86,166,1997-04-15,,ドライブ,
56,琥珀うた,1006261,Uta Kohaku,こはくうた,80,C,60,88,167,1992-02-14,A,アニメ、映画鑑賞、クラシックバレエ、ダンス、野球、ソフトボール,沖縄県
57,塚田詩織,1022129,Shiori Tsukada,つかだしおり,101,J,60,95,155,1994-03-23,A,読書、舞台鑑賞、英会話、タイピング,北海道
58,跡美しゅり,1031482,Shuri Atomi,あとみしゅり,85,B,55,85,156,1995-10-06,,お魚釣り,東京都
59,神波多一花,1017395,Ichika Kaminahata,かみはたいちか,84,C,60,88,172,,,,
60,吉根ゆりあ,1052930,Yuria Yoshine,よしねゆりあ,111,M,61,95,153,,,,
61,神宮寺ナオ,1041897,Nao Jinguji,じんぐうじなお,86,D,61,88,160,1997-02-15,,,
62,皆月ひかる,1046723,Hikaru Minazuki,みなづきひかる,83,B,55,85,148,2000-01-01,,ファッション、歌、ピアノ、トランペット、水泳、絵画,東京都
63,南梨央奈,1011694,Riona Minami,みなみりおな,85,C,60,86,155,1992-12-23,A,ショッピング,東京都
64,初音みのり,20214,Minori Hatsune,はつねみのり,86,F,58,86,158,1987-12-10,,映画鑑賞、料理,
65,神納花,1034249,Hana Kanno,かのはな,84,C,62,92,161,,,,
66,田中ねね,1060480,Nene Tanaka,たなかねね,97,I,60,90,151,1999-09-20,,ゲーム、速読,
67,宝田もなみ,1043832,Monami Takada,たからだもなみ,100,I,,,,,,,
68,結城みさ,1003808,Misa Yuuki,ゆうきみさ,87,E,59,85,154,1979-10-01,,料理,
69,佐山愛,21549,Ai Sayama,さやまあい,98,H,61,90,,1989-01-08,O,ネットサーフィン,東京都
70,乙アリス,1065724,Alice Otsu,おつありす,,,,,,,,,
71,天海つばさ,1001592,Tsubasa Amami,あまみつばさ,85,E,60,88,160,1988-03-08,B,ペットと遊ぶこと,広島県
72,姫咲はな,1061659,Hana Himesaki,ひめさきはな,,,,,,,,,
73,希島あいり,1021367,Airi Kijima,きじまあいり,85,C,58,87,160,1988-12-24,O,読書、料理、ダンス、バスケット,東京都
74,青木玲,8333,Rei Aoki,あおきれい,86,E,58,86,160,1984-07-11,A,料理、昼寝、バドミントン,埼玉県
75,有村のぞみ,1043123,Nozomi Arimura,ありむらのぞみ,86,E,58,88,155,1996-02-14,,海外旅行,静岡県
76,北川エリカ,1003758,Erika Kitagawa,きたがわえりか,90,G,58,87,153,1986-12-09,,エステ、騎乗位、飲みカラオケ、料理,東京都
77,栄川乃亜,1034918,Noa Eikawa,えいかわのあ,79,B,62,83,147,1997-12-25,,食べること、寝ること,
78,冬愛ことね,1051459,Kotone Toa,とうあことね,83,,56,82,147,,,ダンス、着付け舞,
79,尾上若葉,1015386,Wakaba Onoue,おのうえわかば,88,F,58,89,152,1992-04-15,,料理、ウェイクボード,
80,織田真子,18878,Mako Oda,おだまこ,92,H,63,89,155,1983-12-17,B,映画鑑賞、書道,東京都
81,宮崎あや,1023222,Aya Miyazaki,みやざきあや,88,D,57,95,162,1995-06-20,,音楽、お菓子作り,東京都
82,浅倉彩音,26294,Ayane Asakura,あさくらあやね,95,F,62,95,159,1973-11-13,A,スパ、マッサージ,東京都
83,森日向子,1061586,Hinako Mori,もりひなこ,75,A,56,88,166,2000-09-09,,メイク、アイドルの応援,三重県
84,柳田やよい,19133,Yayoi Yanagida,やなぎだやよい,86,E,60,84,155,,,料理/華道/茶道/水泳,
85,友田彩也香,1002043,Ayaka Tomoda,ともだあやか,85,,60,85,160,1988-09-14,A,プロレス観戦、コスメ収集、バドミントン,
86,紫彩乃,7849,Ayano Murasaki,むらさきあやの,90,F,62,90,160,1971-01-01,O,,茨城県
87,長澤あずさ,26278,Azusa Nagasawa,ながさわあずさ,100,I,63,92,162,1988-12-30,O,音楽鑑賞、料理,東京都
88,深田えいみ,1048468,Eimi Fukada,ふかだえいみ,88,,59,91,158,1998-03-18,,美容、筋トレ、ゲーム、華道,東京都
89,佐伯奈々,3594,Nana Saeki,さえきなな,90,G,63,90,170,1985-12-29,O,バドミントン,新潟県
90,沙月恵奈,1064143,Ena Satsuki,さつきえな,85,E,58,86,152,1999-06-11,,料理/ピアノ,千葉県
91,神ユキ,1005334,Yuki Kami,じんゆき,83,D,58,84,163,1987-01-11,A,スポーツ観戦/ダーツ/乗馬、テニス/水泳/マッサージ/エビ反り,東京都
92,さつき芽衣,1062041,Mei Satsuki,さつきめい,87,F,60,86,154,2000-08-16,,料理、アニメを見ること、絵を描く事,山形県
93,倉本すみれ,1072360,Sumire Kuramoto,くらもとすみれ,,,,,,,,,
94,一条みお,1044544,Ichijo Mio,いちじょうみお,83,D,57,83,148,,,ヨガ、料理,山形県
95,円城ひとみ,27093,Hitomi Enjo,えんじょうひとみ,86,D,63,88,164,,,,
96,村上涼子（中村りかこ、黒木菜穂）,12839,Ryoko Murakami (Rikako Nakamura&nbsp;Naho Kuroki),むらかみりょうこ（なかむらりかこ、くろきなほ）,88,G,61,88,158,1977-04-29,,,
97,橘メアリー,1024513,Mary Tachibana,たちばなめありー,95,H,63,86,167,1993-07-07,O,DJ、絶対音感、中国語検定1級、フルート、歯科衛生士,東京都
98,東條なつ,1059080,Natsu Tojo,とうじょうなつ,78,C,55,85,156,1999-08-19,,カラオケ,栃木県
99,岬あずさ,1049032,Azusa Misaki,みさきあずさ,87,F,60,87,155,1998-08-07,,,
100,霧島さくら,1038799,Sakura Kirishima,きりしまさくら,92,I,59,88,157,,A,水泳・カラオケ、なわとび,
101,さとう遥希,1010133,Haruki Sato,さとうはるき,89,F,59,88,160,1991-12-01,,カラオケ、お菓子作り,
102,星優乃,19764,Yuno Hoshi,ほしゆうの,88,E,59,85,172,1984-12-29,O,車、犬のカット、ネイルアート,東京都
103,佐知子,1053039,Sachiko,さちこ,,,,,,,,,
104,川菜美鈴,1021316,Misuzu Kawana,かわなみすず,88,E,58,87,157,1993-06-12,A,食べ歩き、書道,東京都
105,湊莉久,1019890,Riku Minato,みなとりく,82,D,58,88,160,1993-08-01,O,麻雀、マンガ、ゲーム、そうじ,神奈川県
106,朝倉ことみ,1006364,Kotomi Asakura,あさくらことみ,76,B,57,81,158,1987-03-11,,カラオケ　映画,神奈川県
107,二宮沙樹,11587,Saki Ninomiya,にのみやさき,83,,60,86,158,1985-04-10,AB,ショッピング、ビデオ鑑賞,東京都
108,八乃つばさ,1042596,Tsubasa Hachino,はちのつばさ,88,E,58,83,156,,,スポーツ,
109,鈴木さとみ,22474,Satomi Suzuki,すずきさとみ,85,F,58,82,151,1988-09-09,A,舞台鑑賞,千葉県
110,逢見リカ,1051877,Rika Aimi,あいみりか,79,H,53,78,145,1999-12-30,A,ゲーム,
111,本田莉子,1018233,Riko Honda,ほんだりこ,88,F,55,86,155,1991-08-06,,カメラ、お笑い観賞、映画鑑賞、散歩,
112,松すみれ,1001189,Sumire Matsu,まつすみれ,95,I,58,87,162,1989-12-12,O,カラオケ、歌,東京都
113,晶エリー（新井エリー、大沢佑香）,14495,Eri Akira (Eri Arai&nbsp;Yuka Osawa),あきらえりー（あらいえりー、おおさわゆうか）,88,F,60,98,154,1986-12-22,A,手芸、料理,東京都
114,麻美ゆま,15365,Yuma Asami,あさみゆま,96,H,58,88,158,1987-03-24,AB,香水集め、英会話、ピアノ,東京都
115,笠木忍,537,Shinobu Kasagi,かさぎしのぶ,85,D,60,88,165,1980-07-28,A,ショッピング,埼玉県
116,藤森里穂,1058710,Riho Fujimori,ふじもりりほ,86,G,60,88,160,1996-12-03,,,
117,向井藍,1032266,Ai Mukai,むかいあい,,,,,,,,,
