name	alias	alias_id
IDEA POCKET	アイデアポケット	30
MOODYZ	ムーディーズ	13905
MAXING	マキシング	3732
未来 フューチャー	フューチャー	3412
SOD Create	SODクリエイト	547
バルタン	BALTAN＜バルタン＞	3045
MARX	マルクス兄弟	3806
LUNATICS	ルナティックス	4238
グラッツコーポレーション	REbecca	4301
ナンパJAPAN	NPJ	624
DX	DX/エマニエル	2555
バミューダ	アタッカーズ	102
Baby Entertainment	BabyEntertainment	3603
催眠研究所別館	Fitch	3347
Dogma	ドグマ	2674
CROSS	クロス	1273
ノースキンズ/maryGOLD	ノースキンズ	2884
アパッチ（デマンド）	アパッチ	146
ビデオバンク	h.m.p	496
ネクスタシーEX	First Star	3341
ま〇こ銀行	ま○こ銀行	3794
オルスタックピクチャーズ	JUICY HONEY	1968
ロングスタイル	ながえスタイル	2724
ビットチェリー	ビットチェリー/妄想族	3199
NEXT	青空ソフト	59
Aurora Project Annex	オーロラプロジェクト・アネックス	932
Precious Beauty	INTEC Inc	337
催●研究所	催眠研究所	1531
カミパイ/maryGOLD	カミパイ	997
マジック	Magic	3750
夕食会社	お夜食カンパニー	886
バレマンッ！！	バレマンッ！！/妄想族	3046
ANNEX（無言）/妄想族	ANNEX（無言）/HERO	144
