id	name	dmm_id	ruby
1	1Z1	5786	1ぜっと1
2	3年2組	4338	3ねん2くみ
3	3Point Zone	1662	3ぽいんとぞーん
4	あああ	40486	あああ
5	AiAi ESPY	1665	あいあいえすぴー
6	アイ映像	6336	あいえいぞう
7	IXAクリエイト	46396	あいえっくすえーくりえいと
8	アイエナジー	40004	あいえなじー
9	愛エムエフ	4720	あいえむえふ
10	ion-q	1739	あいおーえぬきゅー
11	ION/妄想族	300257	あいおーえぬもうそうぞく
12	アイ企画	6520	あいきかく
13	アイキュー	5689	あいきゅー
14	IQ300	4782	あいきゅー300
15	IQ プレミアム	5268	あいきゅーぷれみあむ
16	IQユニバース	5750	あいきゅーゆにばーす
17	愛狂組	4048	あいきょうぐみ
18	愛好家	5681	あいこうか
19	AiconiQ Pictures	60886	あいこにっくぴくちゃーず
20	アイコン	3995	あいこん
21	愛妻	4390	あいさい
22	アイシス	300882	あいしす
23	アイジー	5193	あいじー
24	あいすまん	301569	あいすまん
25	アイ・ズ	4028	あいず
26	あいずびい	6538	あいずびい
27	IZ企画	4758	あいぜっときかく
28	IW映像	3786	あいだぶるえいぞう
29	アイダラー	4372	あいだらー
30	アイデアポケット	1219	あいであぽけっと
31	アイデアポケポケクエスト	4819	あいであぽけぽけくえすと
32	アイトー	4536	あいとー
33	アイドマ	5504	あいどま
34	アイドリ/妄想族	301127	あいどりもうそうぞく
35	アイドルウィズ	66531	あいどるうぃず
36	アイドル研究会	3899	あいどるけんきゅうかい
37	アイドル フィッシュ	1220	あいどるふぃっしゅ
38	アイドル ライフ	1895	あいどるらいふ
39	I.B.WORKS	45134	あいびーわーくす
40	愛撫	1563	あいぶ
41	愛撫Train	1564	あいぶとれいん
42	AIBEK	1666	あいべく
43	EYEBOX	5701	あいぼっくす
44	アイボリー	5342	あいぼりー
45	IMAX	46581	あいまっくす
46	アイム ホウニョウ	1221	あいむほうにょう
47	アイ ラブ	1893	あいらぶ
48	I love Legs	3760	あいらぶれっぐす
49	IYZ	2335	あいわいぜっと
50	EinTor	300889	あいんとーあ
51	アウダースジャパン	40022	あうだーすじゃぱん
52	アウト	4841	あうと
53	アウト ウォッチ	1222	あうとうぉっち
