id	attribute	url	video_id
1	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=cead00704/size=476_306/affi_id=10278-996/	2
2	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=cead00704/size=560_360/affi_id=10278-996/	2
3	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=cead00704/size=644_414/affi_id=10278-996/	2
4	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=cead00704/size=720_480/affi_id=10278-996/	2
5	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00189/size=476_306/affi_id=10278-996/	4
6	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00189/size=560_360/affi_id=10278-996/	4
7	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00189/size=644_414/affi_id=10278-996/	4
8	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00189/size=720_480/affi_id=10278-996/	4
9	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1060vsed00269/size=476_306/affi_id=10278-996/	5
10	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1060vsed00269/size=560_360/affi_id=10278-996/	5
11	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1060vsed00269/size=644_414/affi_id=10278-996/	5
12	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1060vsed00269/size=720_480/affi_id=10278-996/	5
13	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_068mxgs1396/size=476_306/affi_id=10278-996/	6
14	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_068mxgs1396/size=560_360/affi_id=10278-996/	6
15	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_068mxgs1396/size=644_414/affi_id=10278-996/	6
16	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_068mxgs1396/size=720_480/affi_id=10278-996/	6
17	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=mird00255/size=476_306/affi_id=10278-996/	7
18	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=mird00255/size=560_360/affi_id=10278-996/	7
19	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=mird00255/size=644_414/affi_id=10278-996/	7
20	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=mird00255/size=720_480/affi_id=10278-996/	7
21	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=miab00541/size=476_306/affi_id=10278-996/	8
22	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=miab00541/size=560_360/affi_id=10278-996/	8
23	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=miab00541/size=644_414/affi_id=10278-996/	8
24	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=miab00541/size=720_480/affi_id=10278-996/	8
25	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=mlmm083/size=476_306/affi_id=10278-996/	9
26	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=mlmm083/size=560_360/affi_id=10278-996/	9
27	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=mlmm083/size=644_414/affi_id=10278-996/	9
28	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=mlmm083/size=720_480/affi_id=10278-996/	9
29	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=bbss00098/size=476_306/affi_id=10278-996/	10
30	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=bbss00098/size=560_360/affi_id=10278-996/	10
31	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=bbss00098/size=644_414/affi_id=10278-996/	10
32	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=bbss00098/size=720_480/affi_id=10278-996/	10
33	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ksbj00394/size=476_306/affi_id=10278-996/	11
34	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ksbj00394/size=560_360/affi_id=10278-996/	11
