video_id	attribute	url
2	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=cead00704/size=476_306/affi_id=10278-996/
2	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=cead00704/size=560_360/affi_id=10278-996/
2	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=cead00704/size=644_414/affi_id=10278-996/
2	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=cead00704/size=720_480/affi_id=10278-996/
3	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=gvh00782/size=476_306/affi_id=10278-996/
3	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=gvh00782/size=560_360/affi_id=10278-996/
3	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=gvh00782/size=644_414/affi_id=10278-996/
3	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=gvh00782/size=720_480/affi_id=10278-996/
4	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00189/size=476_306/affi_id=10278-996/
4	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00189/size=560_360/affi_id=10278-996/
4	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00189/size=644_414/affi_id=10278-996/
4	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=cjob00189/size=720_480/affi_id=10278-996/
5	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1060vsed00269/size=476_306/affi_id=10278-996/
5	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1060vsed00269/size=560_360/affi_id=10278-996/
5	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1060vsed00269/size=644_414/affi_id=10278-996/
5	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1060vsed00269/size=720_480/affi_id=10278-996/
6	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_068mxgs1396/size=476_306/affi_id=10278-996/
6	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_068mxgs1396/size=560_360/affi_id=10278-996/
6	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_068mxgs1396/size=644_414/affi_id=10278-996/
6	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_068mxgs1396/size=720_480/affi_id=10278-996/
7	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=mird00255/size=476_306/affi_id=10278-996/
7	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=mird00255/size=560_360/affi_id=10278-996/
7	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=mird00255/size=644_414/affi_id=10278-996/
7	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=mird00255/size=720_480/affi_id=10278-996/
8	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=miab00541/size=476_306/affi_id=10278-996/
8	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=miab00541/size=560_360/affi_id=10278-996/
8	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=miab00541/size=644_414/affi_id=10278-996/
8	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=miab00541/size=720_480/affi_id=10278-996/
9	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=mlmm083/size=476_306/affi_id=10278-996/
9	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=mlmm083/size=560_360/affi_id=10278-996/
9	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=mlmm083/size=644_414/affi_id=10278-996/
