video_id	series_id
2	44351
5	15860
6	22329
7	31815
9	33986
10	44352
11	33965
12	15860
13	12848
14	44353
15	44193
16	44354
18	26067
20	31
28	36112
30	44355
32	44356
36	25775
37	44357
40	38327
41	211646
42	44358
44	6026
45	40184
46	4791
47	19118
60	38602
68	12508
70	12595
72	35392
73	16072
75	221452
76	8330
83	12490
85	21872
86	3749
92	24332
95	12072
100	30898
102	25152
103	38390
104	8094
108	71475
109	39012
110	10316
112	9250
113	12072
114	5899
116	42521
117	8902
118	15112
119	16048
120	17873
121	38545
122	24926
123	37524
124	20956
125	16074
128	17873
129	38451
130	35796
133	40346
135	9250
137	20529
139	16534
142	7490
144	21334
149	31773
151	21010
152	36974
154	22478
155	17873
156	42521
158	10542
163	28249
165	27377
166	25133
168	21334
169	1982
171	19401
173	22856
174	18422
175	4498
177	25004
178	10316
180	2884
181	7131
184	6060
186	209804
187	34640
190	12072
191	37793
193	12072
194	4964
195	3749
199	3749
200	11464
204	12299
205	23026
207	21617
209	18324
211	36682
212	34416
216	3749
217	9884
219	39768
220	23323
222	211277
223	33567
226	33389
229	5087
230	6339
236	43333
241	14453
243	2034
246	14674
247	12835
248	3111
250	33686
251	25675
255	9805
256	39774
260	6888
261	7487
262	9793
263	1169
265	6340
266	38683
268	3620
269	206075
270	8044
271	201899
272	5150
274	8663
275	29890
276	14040
277	20666
279	201541
282	204306
283	44364
284	33268
285	202364
288	7484
289	201899
290	9878
291	38651
292	5087
294	8334
295	5087
297	521
299	34949
300	21625
301	285
302	16429
303	39709
309	6843
310	43789
313	77175
314	25704
317	6843
320	14673
321	6843
322	4883
325	6843
326	3321
328	7968
329	74708
330	6843
331	6843
332	1541
333	74341
336	39441
337	41383
338	13395
339	6843
340	9676
342	41627
347	29955
353	22286
355	15596
359	31817
361	4304
362	71214
363	29014
364	39987
365	15609
366	30364
368	26139
370	26139
373	26139
375	26139
390	40645
