id	code	title	dmm_id	description	release_date	length	label	series_id	maker_id
1	MDBK-390	手コキま〇こにびゅ～っびゅ～っ射精しまくり240分BEST - 波多野結衣	mdbk00390	オンナの手こそが究極の性器だ！手コキでヌかれる射精しまくりBESTが堂々発売！！！！チ●ポを快楽に誘う、最適な形状に変化する…女の中で一番エロいパーツ！密着度も強さも速度も、自由に変わって気持ちいい！美手美女50人にシゴかれまくる！手から伝わる快感搾精！最後の一滴まで！達人級のチン搾り！金玉カラっぽ確定の4時...	2025-09-20				3013
2	CEAD-704	貴方に向かって見せつける！！大股開きのガニ股オナニーで挑発する超淫乱ドスケベ女優達15人 - 波多野結衣	cead00704	選りすぐりの美しい女優達15人が、あなたを挑発しながら大股開いてドスケベなオナニーを大公開！女優主導のフリースタイルなオナニーだから、淫語たっぷりの言葉攻めも個性満点で見逃し厳禁！色とりどりのランジェリーや水着をまとい、Tバックをマ○コとお尻の割れ目にグイグイ喰い込ませてあなたを誘う大胆女優や、トレードマークの剛毛がワサワサはみ出す...	2025-09-20			44351	2153
3	GVH-782	おしっこ飲ませるのが大好きなドSな女上司の聖水調教 配属ガチャでドM堕ちさせられた僕 波多野結衣	gvh00782	新しい部署に配属となった僕を待ち受けていたのは、妖艶な美貌とドSな性癖を兼ね備えた女上司の課長代理の「ハタノ」さん。ある日、彼女の異常なまでのおしっこ愛にロックオンされた僕は、毎日のようにおしっこをドッパッドッパ、ぐびぐびと飲まされてしまう…。その過激な飲尿プレイを強●される日々の屈辱と快感の狭間でドMへと堕ちていく僕だったが、彼女...	2025-09-20				1339
4	CJOB-189	ドスケベお姉さんたちの奪い合い痴女フェラ 交互にドピュドピュ射精させられちゃったボク…BEST - 晶エリー（新井エリー、大沢佑香）	cjob00189	バチバチとフェラテクを魅せあって何が何でも自分のターンで射精させようとしてくる貪欲さがとにかくエロいっ！無限に続きそうな勢いで交互にチ○ポを舐めじゃくる2人の痴女に挟まれて…じゅぽじゅぽと奪い合われ絶え間ないフェラ快楽に悶絶ッ！1度射精しても入れ替わり追撃が押し寄せてきて何度も、空っぽ...	2025-09-19				2356
5	VSED-269	「女将のエロいおもてなし最高！」「男なら一度は行くべき！」と、ある情報誌で有名になった山奥の温泉宿に行ってみた。そこで待ち受けていた過剰接待とは、想像を超えるエロ接待だった！！ 11 - 波多野結衣	vsed00269	営業不振で存続がままならない旅館を立て直す為に女将と仲居が立ち上がった！それは男性客を全裸でお出迎えし、身体を使ったエロい接待でおもてなしをする「エロ旅館」だった。そんな温泉旅館に潜入！そこで待ち受けていた過剰接待とは！！シリーズ第11弾！	2025-09-18			15860	1627
6	MXGS-1396	絶対痴女 色気ムンムン豊満お姉さんの誘惑SEX 波多野結衣	mxgs01396	最高の痴女がここに！！逆レ●プFUCK・全身網タイツで見せつけオナフェラ・上司も後輩も喰らう3P- FUCKなど、オトコのM性を芯から刺激するチ●ポ直撃型痴女が暴れまくる！！	2025-09-16			22329	3732
7	MIRD-255	MOODYZファン感謝祭バコバコバスツアー2025 完全版 バコバス11時間＋うらバコ4時間＋未公開シーン収録17時間 - 波多野結衣	mird00255	まだシコシコは終わらない！バコバコバスツアー2025の完全版がついに完成しました！過去最高発射回数のドスケベ☆バコバス本編にブチアゲセックス祭りなうらばこサンバ！撮影1日目終盤の気だるい色気がムンムンな秘密の花園・女子部屋！おっぱい、マンコまで出しちゃうAV女優の悪ノリをのぞき見！明け方寸前に眠気でハイになった女子たちのちゅぱぺろ逆...	2025-09-12			31815	3905
8	MIAB-541	手コキ・パイズリ・寸止め焦らし 痴女テクを極めきった波多野結衣が魅せて・責めて・抜きまくる 痴女回春メンズエステ	miab00541	ここは予約の絶えない老舗超人気メンズエステ店。店主「波多野結衣」が極めきった極上のテクニックで人生で一番の射精へ導く。コリをほぐす強い指圧と性器を刺激する指先が触れるかどうかのフェザータッチを使い分け、疲れを癒し、精子をオチ〇チン先っぽまで誘う！「イケると思った？まだダメだよ？」一番気持ちよくなるところまでとことん焦らしプレイ！密着...	2025-09-12				3905
9	MLMM-083	S級美熟女ベスト 波多野結衣 4時間 スレンダー巨乳マドンナ4	mlmm00083	美貌と瑞々しい肢体を誇る波多野結衣の魅力を余すことなく詰め込んだ究極のベスト！巨乳ボディーに連発発射！下品な口がチ○ポを生尺！淫乱肉壺に大量中出し！淫乱オナニーなどたっぷり4時間。第4弾！	2025-09-06			33986	3942
10	BBSS-098	ぺロぺロこねくり乳首責め＆じゅぼじゅぼクリフェラでスケベ汁垂れ流しレズビアン痴女天国BEST！！（BBSS-098） - 紺野ひかる	bbss00098	SEXが好きすぎる超エロい痴女ビアンが大集結！唾液まみれでねっとりこねくり回す圧倒的乳首責め＆吸い付き最強のクリフェラクンニで女の敏感スポットを集中刺激！絶頂不可避の超絶テクニックでノンケも昇天ゴートゥーヘブン！盛りに盛った痴女達が楽しく淫らにイカセ合う超濃厚レズビアンセックスBEST！	2025-09-05			44352	3216
